"Timestamp"," Do you use any digital services(e.g., online banking, e-commerce)?","Gender","Age","Educational Qualification","Occupation","Monthly Income","Residence","How frequently do you use digital services?","How many years have you been using digital services?","Which of the following is the strongest password?","You receive an email asking you to click a link and urgently confirm your bank account details. What is the safest action?","Which of the following is a common indicator of a phishing message?","What is the primary purpose of two-factor authentication (2FA)?","Which website address generally indicates that the connection is encrypted?","What is the most appropriate action when a legitimate security update is available for your device or application?","If a message requests your bank PIN, password, or OTP, what should you do?","What is the safest approach when using an unsecured public Wi-Fi network?","What should you do if you suspect that your online account has been compromised?","Which statement about software security updates is correct?","Digital service providers adequately protect my personal information.","I believe my financial information is securely stored.","Privacy policies of digital platforms are clear and understandable.","I have control over how my personal information is used.","Digital platforms collect only the information necessary for providing services.","I am confident that my personal data will not be shared without my consent.","I feel safe when sharing personal information through digital services.","Digital services are available whenever I need them.","Digital platforms perform transactions accurately.","I rarely experience technical failures while using digital services.","Digital services recover quickly after technical problems.","Digital platforms provide consistent service quality.","I believe digital systems are dependable.","Digital services maintain secure and uninterrupted operations.","I trust digital service providers to handle my personal information responsibly.","I feel confident when using digital services for financial transactions.","I believe digital service providers take adequate measures to protect users from cybersecurity threats.","I am concerned that digital service providers may not adequately protect my personal information.","I believe digital service providers are reliable in delivering online services.","I would hesitate to use a digital service if I were uncertain about its security. ","I believe digital service providers act in the best interests of their users.","I consider digital services generally trustworthy.","I am willing to continue using digital services that provide adequate security and privacy protection.","I would recommend a digital service that I consider secure and reliable to others."
"2026/08/20 2:07:55 PM GMT+1","Yes","Male","31-40","Undergraduate","Business","£2001 - £2500","Rural","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree"
"2026/08/20 2:10:38 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 2:12:35 PM GMT+1","Yes","Male","21–30","Diploma","Student","Below £1000","Urban","Weekly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Agree","Agree","Disagree","Strongly disagree","Disagree","Strongly Agree","Agree","Neutral","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral"
"2026/08/20 2:30:31 PM GMT+1","Yes","Female","21–30","Postgraduate","Self-employed","Below £1000","Urban","Weekly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To provide an additional layer of identity verification","example-free-login.com","Ignore it permanently","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Ignore the incident","They should always be disabled","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Disagree"
"2026/08/20 2:30:58 PM GMT+1","Yes","Female","Below 20","Higher Secondary","Student","Below £1000","Rural","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To prevent all types of cyberattacks","An unfamiliar shortened URL","Ignore it permanently","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Agree","Neutral","Agree","Disagree","Strongly agree","Strongly disagree","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Neutral","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree"
"2026/08/20 2:39:36 PM GMT+1","Yes","Male","21–30","Postgraduate","Private Employee","£2001 - £2500","Urban","Monthly","1–3 years","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To increase internet speed","example-free-login.com","Disable security notifications","Provide the information if the message appears urgent","Conduct sensitive financial transactions normally","Continue using the account normally","They always reduce device security","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Strongly Agree","Disagree","Neutral","Neutral","Neutral","Agree","Agree"
"2026/08/20 2:44:19 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","£1501 - £2000","Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 2:45:59 PM GMT+1","Yes","Female","31-40","Undergraduate","Homemaker","£1001 - £1500","Semi-Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 2:46:58 PM GMT+1","Yes","Male","31-40","Higher Secondary","Self-employed","£1001 - £1500","Rural","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message from a known organisation","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral"
"2026/08/20 2:47:39 PM GMT+1","Yes","Male","21–30","Postgraduate","Student","Below £1000","Urban","Occasionally","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 2:48:15 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","example-free-login.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 2:49:44 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 2:56:33 PM GMT+1","Yes","Male","21–30","Postgraduate","Self-employed","Below £1000","Semi-Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","example-free-login.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Disagree","Neutral","Strongly disagree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree"
"2026/08/20 3:03:50 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 3:04:01 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 3:04:55 PM GMT+1","Yes","Male","21–30","Diploma","Private Employee","Below £1000","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Click the link and verify the account","A routine service notification","To automatically change passwords","http://example.com","Install the security update when appropriate","Provide the information if the message appears urgent","Disable device security features","Continue using the account normally","They should always be disabled","Strongly agree","Strongly agree","Agree","Agree","Disagree","Neutral","Neutral","Agree","Disagree","Neutral","Agree","Strongly Agree","Neutral","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"2026/08/20 3:13:10 PM GMT+1","Yes","Male","21–30","Postgraduate","Private Employee","£2001 - £2500","Rural","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Neutral","Strongly agree","Strongly agree","Strongly disagree","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree"
"2026/08/20 3:13:44 PM GMT+1","Yes","Male","21–30","Postgraduate","Student","£1001 - £1500","Semi-Urban","Weekly","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly disagree","Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree"
"2026/08/20 3:46:42 PM GMT+1","Yes","Male","21–30","Postgraduate","Private Employee","£1501 - £2000","Semi-Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Ignore the incident","They can help fix security vulnerabilities","Strongly agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 3:47:42 PM GMT+1","Yes","Male","21–30","Postgraduate","Others","Below £1000","Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Conduct sensitive financial transactions normally","Ignore the incident","They always reduce device security","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 3:55:28 PM GMT+1","Yes","Male","Below 20","Undergraduate","Student","Below £1000","Rural","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Neutral","Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree"
"2026/08/20 4:05:48 PM GMT+1","Yes","Female","21–30","Undergraduate","Others","Below £1000","Rural","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","example-free-login.com","Ignore it permanently","Provide only the OTP","Conduct sensitive financial transactions normally","Change the password and follow the provider's security procedures","They always reduce device security","Neutral","Agree","Neutral","Agree","Agree","Agree","Strongly disagree","Agree","Disagree","Neutral","Neutral","Agree","Strongly Agree","Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Disagree","Strongly Agree","Strongly Agree","Agree"
"2026/08/20 4:08:40 PM GMT+1","Yes","Female","21–30","Postgraduate","Student","Below £1000","Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They should always be disabled","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 4:22:08 PM GMT+1","Yes","Female","Below 20","Undergraduate","Student","Below £1000","Rural","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree"
"2026/08/20 4:32:33 PM GMT+1","Yes","Female","21–30","Postgraduate","Student","Below £1000","Rural","Weekly","1–3 years","Name@123","Avoid the link and contact the bank through its official channel","A message containing your name","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Conduct sensitive financial transactions normally","Change the password and follow the provider's security procedures","They are generally unnecessary","Agree","Agree","Agree","Strongly agree","Neutral","Strongly agree","Disagree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Agree","Agree","Agree","Strongly Agree"
"2026/08/20 4:35:08 PM GMT+1","Yes","Female","21–30","Undergraduate","Student","Below £1000","Semi-Urban","Daily","1–3 years","T7#mQ9!vL2@p","Click the link and verify the account","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Provide only the OTP","Conduct sensitive financial transactions normally","Continue using the account normally","They always reduce device security","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree"
"2026/08/20 4:37:38 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Rural","Occasionally","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Neutral","Disagree","Agree","Disagree","Neutral","Neutral","Agree","Agree","Neutral","Strongly Agree","Agree","Disagree","Neutral","Strongly Agree","Neutral","Agree","Disagree","Agree","Neutral","Neutral","Agree","Strongly Agree","Strongly Agree"
"2026/08/20 4:42:41 PM GMT+1","Yes","Male","21–30","Others","Self-employed","Below £1000","Rural","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree","Agree","Neutral","Neutral","Agree","Agree","Agree"
"2026/08/20 4:47:53 PM GMT+1","Yes","Female","21–30","Postgraduate","Private Employee","Below £1000","Semi-Urban","Daily","1–3 years","Name@123","Avoid the link and contact the bank through its official channel","A message containing your name","To provide an additional layer of identity verification","https://example.com","Ignore it permanently","Provide only the OTP","Conduct sensitive financial transactions normally","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Neutral","Strongly agree","Neutral","Strongly agree","Strongly disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Agree"
"2026/08/20 4:59:57 PM GMT+1","Yes","Male","21–30","Undergraduate","Business","Below £1000","Rural","Occasionally","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A routine service notification","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral"
"2026/08/20 5:04:52 PM GMT+1","Yes","Female","21–30","Undergraduate","Self-employed","Below £1000","Urban","Daily","Less than 1 year","12345678","Avoid the link and contact the bank through its official channel","A routine service notification","To increase internet speed","An unfamiliar shortened URL","Ignore it permanently","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Ignore the incident","They always reduce device security","Disagree","Strongly Disagree","Strongly disagree","Strongly Disagree","Disagree","Strongly disagree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Neutral","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Agree"
"2026/08/20 5:09:29 PM GMT+1","Yes","Female","21–30","Higher Secondary","Student","Below £1000","Semi-Urban","Occasionally","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message from a known organisation","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 5:19:03 PM GMT+1","Yes","Female","21–30","Postgraduate","Student","Below £1000","Semi-Urban","Weekly","1–3 years","Name@123","Avoid the link and contact the bank through its official channel","A message from a known organisation","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree"
"2026/08/20 5:21:49 PM GMT+1","Yes","Female","21–30","Others","Government Employee","Above £2500","Rural","Daily","More than 6 years","Name@123","Click the link and verify the account","A routine service notification","To increase internet speed","example-free-login.com","Ignore it permanently","Provide only the OTP","Disable device security features","Ignore the incident","They always reduce device security","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 5:31:46 PM GMT+1","Yes","Male","Below 20","Higher Secondary","Student","Below £1000","Rural","Weekly","1–3 years","password123","Click the link and verify the account","A message from a known organisation","To automatically change passwords","An unfamiliar shortened URL","Ignore it permanently","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Ignore the incident","They can help fix security vulnerabilities","Neutral","Neutral","Neutral","Disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly Agree","Disagree","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree"
"2026/08/20 5:39:52 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 5:44:58 PM GMT+1","Yes","Male","21–30","Higher Secondary","Student","Below £1000","Urban","Daily","Less than 1 year","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 5:47:21 PM GMT+1","Yes","Male","Below 20","Undergraduate","Student","Below £1000","Urban","Daily","1–3 years","password123","Click the link and verify the account","A message containing your name","To increase internet speed","example-free-login.com","Ignore it permanently","Provide the information if the message appears urgent","Conduct sensitive financial transactions normally","Ignore the incident","They always reduce device security","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Disagree","Strongly disagree","Neutral","Agree","Agree","Disagree"
"2026/08/20 5:51:16 PM GMT+1","Yes","Male","21–30","Undergraduate","Others","Below £1000","Rural","Daily","1–3 years","T7#mQ9!vL2@p","Forward the email to friends","A message containing your name","To prevent all types of cyberattacks","http://example.com","Ignore it permanently","Forward the information to another person","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Neutral"
"2026/08/20 5:53:03 PM GMT+1","Yes","Female","21–30","Postgraduate","Student","Below £1000","Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They always reduce device security","Agree","Agree","Neutral","Agree","Neutral","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree"
"2026/08/20 5:55:44 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Semi-Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Neutral","Strongly agree","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly disagree","Strongly Disagree","Strongly Disagree","Strongly disagree","Strongly Disagree"
"2026/08/20 5:59:44 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Rural","Daily","Less than 1 year","Name@123","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Ignore it permanently","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral"
"2026/08/20 6:01:25 PM GMT+1","Yes","Female","21–30","Postgraduate","Student","Below £1000","Rural","Weekly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To automatically change passwords","An unfamiliar shortened URL","Disable security notifications","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Strongly disagree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral"
"2026/08/20 6:08:30 PM GMT+1","Yes","Female","21–30","Postgraduate","Student","Below £1000","Semi-Urban","Weekly","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","https://example.com","Install the security update when appropriate","Forward the information to another person","Disable device security features","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree"
"2026/08/20 6:16:44 PM GMT+1","Yes","Male","Below 20","Undergraduate","Student","Below £1000","Rural","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A routine service notification","To prevent all types of cyberattacks","https://example.com","Ignore it permanently","Provide the information if the message appears urgent","Share passwords over the network","Ignore the incident","They can help fix security vulnerabilities","Strongly disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
